Player,College,Position,Pos Order,ID,Grade,Height,Arm Length,Weight,Hands,40 Yard Dash,Bench Press,Vertical Jump,Broad Jump,Three Cone Drill,20 Yard Shuttle,60 Yard Shuttle
Jalen Reeves-Maybin,Tennessee,LB,6,LB25,5.36,72,32.25,230,9.625,,,,,,,
Vince Biegel,Wisconsin,OLB,6,LB04,5.28,75,32.375,246,9.125,4.67,21,33.5,118,6.92,4.3,
Marquel Lee,Wake Forest,LB,6,LB19,5.2,75,32.5,240,9.5,,25,31,118,,,
Ben Gedeon,Michigan,ILB,6,LB16,5.18,74,32.625,244,10,4.75,27,34.5,119,6.98,4.13,11.58
Tanner Vallejo,Boise State,LB,6,LB27,5.11,73,30.5,228,9.625,4.67,,33.5,121,,4.39,
JoJo Mathis,Washington,OLB,6,LB20,5.1,74,33,266,9,,24,,,,,
Ben Boulware,Clemson,ILB,6,LB05,5.05,72,30.5,238,10,,20,29.5,111,7.02,4.43,12.13
Jayon Brown,UCLA,LB,6,LB08,5.01,72,31.375,231,9.625,4.7,17,31.5,120,,,
Riley Bullough,Michigan State,LB,6,LB09,5,74,31.25,226,9.875,,20,31.5,116,,,
Kevin Davis,Colorado State,LB,6,LB12,4.97,74,32.375,235,10.25,4.91,11,30.5,110,7.18,4.38,11.91
Brooks Ellis,Arkansas,ILB,6,LB13,4.92,74,31.75,240,9.75,4.79,18,29.5,115,6.8,4.25,11.28
Hardy Nickerson,Illinois,LB,6,LB23,4.92,72,32,232,10,4.78,18,33,116,,4.38,
Keith Kelsey,Louisville,LB,6,LB18,4.88,72,31.375,233,10.125,4.92,23,29.5,112,7.28,4.56,
Malik Hooker,Ohio State,S,7,DB19,6.7,73,32.25,206,10.75,,,,,,,
Jamal Adams,LSU,S,7,DB01,6.6,72,33.375,214,9.25,4.56,18,31.5,120,6.96,4.13,11.92
Marshon Lattimore,Ohio State,CB,7,DB34,6.52,72,31.25,193,8.875,4.36,,38.5,132,,,
Sidney Jones,Washington,CB,7,DB28,6.5,72,31.5,186,9.375,4.47,,33.5,123,7.02,4.28,
Marlon Humphrey,Alabama,CB,7,DB20,6.16,72,32.25,197,8.75,4.41,10,,125,6.75,,
Teez Tabor,Florida,CB,7,DB48,6.15,72,32,199,8.625,4.62,9,31,120,,,
Tre'Davious White,LSU,CB,7,DB55,6,71,32.125,192,9.125,4.47,16,32,119,6.9,4.32,
Gareon Conley,Ohio State,CB,7,DB08,5.91,72,33,195,9.5,4.44,11,37,129,6.68,4.18,
Josh Jones,NC State,S,7,DB27,5.88,73,32,220,9.375,4.41,20,37.5,132,,,
Marcus Williams,Utah,S,7,DB56,5.87,73,32.5,202,9.5,4.56,14,43.5,129,6.85,4.2,11.26
Budda Baker,Washington,S,7,DB04,5.86,70,30.75,195,9,4.45,15,32.5,115,6.76,4.08,
Rasul Douglas,West Virginia,CB,7,DB10,5.86,74,32.375,209,9.25,4.59,16,33.5,120,6.97,4.26,
Adoree' Jackson,USC,CB,7,DB21,5.86,70,31.375,186,9.25,4.42,,36,122,,,
Marcus Maye,Florida,S,7,DB39,5.84,72,32.5,210,9.125,,,,,,,
Justin Evans,Texas A&M,S,7,DB12,5.82,72,32,199,9.75,,14,,,,,
Desmond King,Iowa,S,7,DB30,5.8,70,31.125,201,9.625,,14,34,117,6.67,4.18,11.57
Cordrea Tankersley,Clemson,CB,7,DB49,5.8,73,32.25,199,9.125,4.4,13,29.5,121,7,4.32,
John Johnson,Boston College,S,7,DB26,5.79,72,32,208,9.875,4.61,14,37,119,6.72,4.18,
Quincy Wilson,Florida,CB,7,DB58,5.79,73,32.25,211,9.625,4.54,14,32,118,6.86,4.02,
Jourdan Lewis,Michigan,CB,7,DB35,5.78,70,31.625,188,9.25,4.54,15,34.5,121,,,
Howard Wilson,Houston,CB,7,DB57,5.78,73,31.375,184,9.625,4.57,,33.5,119,6.68,3.94,
Cameron Sutton,Tennessee,CB,7,DB47,5.77,71,30,188,8.25,4.52,11,34,120,6.81,,
Ahkello Witherspoon,Colorado,CB,7,DB59,5.73,75,33,198,9.875,4.45,,40.5,127,6.93,4.13,11.6
Obi Melifonwu,Connecticut,S,7,DB40,5.72,76,32.5,224,9.125,4.4,17,44,141,,,
Chidobe Awuzie,Colorado,CB,7,DB03,5.68,72,30.625,202,8.5,4.43,16,34.5,132,6.81,4.14,
Lorenzo Jerome,St. Francis,S,7,DB24,5.65,70,30.625,204,8.625,4.7,11,,,7.63,4.68,
Josh Harvey-Clemons,Louisville,S,7,DB17,5.64,76,35.375,217,10.375,,12,31.5,121,,,
Kevin King,Washington,CB,7,DB31,5.6,75,32,200,9.5,4.43,11,39.5,,6.56,3.89,11.14
Fabian Moreau,UCLA,CB,7,DB41,5.59,72,31.375,206,9,4.35,,38,136,6.94,4.12,11.45
William Likely,Maryland,DB,7,DB36,5.57,67,29,180,9.5,,15,,,,,
Tedric Thompson,Colorado,FS,7,DB50,5.57,72,31.5,204,9.625,4.6,17,32.5,117,7.11,4.36,11.65
Jadar Johnson,Clemson,S,7,DB25,5.56,72,32,206,9.25,4.6,19,33,119,6.9,4.2,11.5
Damontae Kazee,San Diego State,CB,7,DB29,5.55,70,30.875,184,8.625,4.54,11,34,124,,,
Corn Elder,Miami,CB,7,DB11,5.46,70,31.25,183,8.75,4.55,,,,,,
Marquez White,Florida State,CB,7,DB54,5.44,72,32.125,194,10,4.59,,36,123,,,
Chuck Clark,Virginia Tech,DB,7,DB06,5.4,72,32.25,208,9,4.54,16,34,122,6.85,4.07,
Eddie Jackson,Alabama,S,7,DB22,5.4,72,32.25,201,9.25,,10,,,,,
Rayshawn  Jenkins,Miami,S,7,DB23,5.4,73,32.75,214,9.625,4.51,19,37,128,,,
Nate Hairston,Temple,CB,7,DB16,5.37,72,31,196,9.5,4.52,14,35.5,118,,,
Channing Stribling,Michigan,CB,7,DB46,5.34,73,31.5,188,8.5,4.6,5,31.5,114,6.94,4.56,
Brendan Langley,Lamar,CB,7,DB33,5.32,72,32,201,9.5,4.43,22,35.5,123,7.06,4.21,11.19
Shaquill Griffin,UCF,DB,7,DB15,5.31,72,32.375,194,8.75,4.38,17,38.5,132,6.87,4.14,11.62
Nate Gerry,Nebraska,S,7,DB14,5.21,74,31.25,218,9.25,4.58,17,30.5,122,,,
Damarius Travis,Minnesota,S,7,DB52,5.21,73,31.75,206,9,,13,32.5,115,7.08,4.28,
Jamal Carter,Miami,S,7,DB05,5.2,73,31,218,9.375,4.64,19,35,122,,,
Jeremy Clark,Michigan,CB,7,DB07,5.19,75,32.875,220,9.375,,20,,,,,
Xavier Woods,Louisiana Tech,S,7,DB60,5.19,71,30.375,197,9.375,4.54,19,33.5,122,6.72,4.13,11.56
Delano Hill,Michigan,SS,7,DB18,5.18,73,32.125,216,9.375,4.47,17,33.5,115,6.96,4.27,
Rudy Ford,Auburn,S,7,DB13,5.13,71,30,205,8.875,,20,,,,,
Ashton Lampkin,Oklahoma State,CB,7,DB32,5.12,72,31,189,9.375,4.52,19,34.5,120,,,
Sojourn Shelton,Wisconsin,CB,7,DB45,5.12,69,31,177,8.375,4.51,10,35,120,6.92,4.02,
Treston Decoud,Oregon State,CB,7,DB09,5.1,74,33,206,9.25,4.62,11,31,116,,,
Jalen Myrick,Minnesota,CB,7,DB42,5.1,70,31.625,200,8.75,4.28,13,37.5,124,7.06,4.22,
Michael Tyson,Cincinnati,S,7,DB53,5.05,73,31.75,204,9.25,4.56,17,33,118,,,
Jack Tocho,NC State,CB,7,DB51,5,72,31.625,202,9.375,4.54,21,35,125,,,
Shalom Luani,Washington State,S,7,DB37,4.99,71,32,202,9.75,4.55,12,31,116,6.87,4.21,11.22
Art Maulet,Memphis,DB,7,DB38,4.96,70,31.25,189,9.625,4.62,18,34.5,120,,,
Brian Allen,Utah,DB,7,DB02,4.92,75,34,215,10,4.48,15,34.5,117,6.64,4.34,
Montae Nicholson,Michigan State,S,7,DB43,4.92,74,33.375,212,9.5,4.42,,35,125,,,
Ezra Robinson,Tennessee State,CB,7,DB44,4.88,71,31.5,189,8.75,4.47,13,34,130,,,
Zane Gonzalez,Arizona State,K,8,PK04,5.3,72,29.5,202,9,,,,,,,
Austin Rehkow,Idaho,P,8,PK07,5.2,75,31.875,214,9.875,,,,,,,
Jake Elliott,Memphis,K,8,PK03,5.15,69,29,167,9,4.79,,,,,,
Justin Vogel,Miami,P,8,PK09,4.99,76,32.5,219,9,4.7,,34,,,,
Cameron Johnston,Ohio State,P,8,PK06,4.98,71,31,194,9,4.92,,,,,,
Toby Baker,Arkansas,P,8,PK01,4.92,75,31.625,210,9.25,,,,,,,
Hayden Hunt,Colorado State,P,8,PK05,4.9,72,29.875,212,9.25,,,,,,,
Harrison Butker,Georgia Tech,K,8,PK02,,76,31.75,199,8.75,,,,,,,
Conrad Ukropina,Stanford,K,8,PK08,,72,31.375,190,9.125,,,,,,,
Colin Holba,Louisville,LS,9,ST01,5.05,76,33.625,248,9.625,5.19,,28,115,,,
Bradley Northnagel,California,LS,9,ST02,,74,32.5,243,10,5.3,,25.5,99,,,
